ИНДЕКС;№ ВЕРХ;№ НИЗ;Поставщик;Категория;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Дата доставки;Упаковочный;Ящик;Вес;Длина;Ширина;Высота
63;;1879.28;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Кольцо уплотнительное 16,3*2,4;;PB0000002767;–;шт.;48; € -   ; € -   ; € 0,69 ; € 33,12 ;;;;;;;
64;;1879.29;УНИКА (Х/1879/2021);Детали для форсунок;Форсунки ЖТ;Кольцо уплотнительное 20,3*2,4;;PB0000009391;–;шт.;32; € -   ; € -   ; € 0,90 ; € 28,80 ;;;;;;;
65;;;;Hydac Bosch Krombach;фильтр воздушный на маслобаке системы регулирования;фильтрующий элемент Rexroth 0007 L003 P;Bosch Rexroth AG → бренд Rexroth BF P 7 G 03 W 1.X R900028217;–;MBX01AT001;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
66;;;;Hydac Bosch Krombach;фильтр масла гидроподъёма;"фильтроэлемент Hydac 0160 D 025 W/HC
ремонтный комплект Hydac, артикул: 306028";HYDAC Filtertechnik GmbH MDF W/HC 160 G 25 B1-0 (новые версии - MDF W/HC 160 L E 25 B 1.0);–;MBV31AT001;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
67;;;;Hydac Bosch Krombach;фильтр напорный;"фильтроэлемент Hydac 0110 D 010 BH4HC 
ремонтный комплект Hydac, артикул: 01260990";HYDAC Filtertechnik GmbH DF BH/HC 110 P 10 Y 1 .X;–;MBX03AT001, MBX03AT002;шт.;2; € -   ; € -   ; € -   ; € -   ;;;;;;;
68;;;;Hydac Bosch Krombach;фильтр обратный масла перед маслобаком системы регулирования;"фильтроэлемент Hydac 0330 R 003 ON 
ремонтный комплект Hydac, артикул: 00319613
уловитель грязи Hydac, артикул: 01202364";HYDAC Filtertechnik GmbH RF BN/HC 0330 D L 03 Y 1 .X;–;MBX08AT001;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
69;;;;Hydac Bosch Krombach;фильтр напорный;"фильтроэлемент Hydac 0060 D 010 BH4HC/-V
ремонтный комплект Hydac, артикул: 00302094";HYDAC Filtertechnik GmbH DF BH/HC 60 P 10 D 1 .X/-V-L24;–;MBX80AT001, MBX82AT001, MBX83AT001;шт.;3; € -   ; € -   ; € -   ; € -   ;;;;;;;
70;;;;Hydac Bosch Krombach;фильтр напорный;"фильтроэлемент Hydac 0060 D 005 BH4HC/-V
ремонтный комплект Hydac, артикул: 00302094";HYDAC Filtertechnik GmbH DF BH/HC 60 P 05 D 1 .X/-V-L24;–;MBX86AT001;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
71;;;;Hydac Bosch Krombach;грязеуловитель перед резервуаром воздуха;комплект запасных частей для грязеуловителя Krombach SF319 DN25 (поз.3 сетка - 1 шт., поз.4 уплотнение - 1 шт., поз.5 шпилька - 2 шт., поз.6 гайка - 2 шт.);Krombach Armaturen GmbH SF319 DN25;–;MBA40AT001;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
72;;;;Bollfilter;Вспомогательное оборудование;Уплотнительное кольцо;Арт. 3030173 266,29x3,53 VA179 2-275, производитель - Parker;–;–;шт.;1; € -   ; € -   ; € -   ; € -   ;;;;;;;
