ИНДЕКС;SET;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование НИЗ;Доп. описание;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;Столбец1;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;Статус;Дата доставки;Упаковочный;Ящик;поз.;Вес;Длина;Ширина;Высота;
60;1;R0.1.10;624.1.13;Ансальдо (Х/624/2021);Программные детали;Сегменты днища пламенных труб;Центральный лист днища, сторона пламени;без керамического покрытия, без упрочнения в местах контакта со вставками горелок;PB0000025836;MBM__HA005G003;шт.;2;2; € 9 346,96 ; € 18 693,92 ; € 2 500,00 ; € 5 000,00 ; Доставлено ;11.07.2022;2078586;5000031012;1;1134;1650;1520;880;
61;1;R0.1.11;624.1.14;Ансальдо (Х/624/2021);Программные детали;Сегменты днища пламенных труб;Сегмент днища, сторона пламени;без керамического покрытия, без упрочнения в местах контакта со вставками горелок;PB0000025837;MBM__HA005G004;шт.;16;16; € 9 346,96 ; € 149 551,38 ; € 2 500,00 ; € 40 000,00 ; Доставлено ;11.07.2022;2078586;5000031012;2;1134;1650;1520;880;
62;1;R0.1.12;624.1.19;Ансальдо (Х/624/2021);Программные детали;Сегменты днища пламенных труб;Центральный лист днища, сторона воздуха;;PB0000025855;MBM__HA005G009;шт.;2;2; € 9 346,96 ; € 18 693,92 ; € 2 500,00 ; € 5 000,00 ; Доставлено ;11.07.2022;2078586;5000031012;4;1134;1650;1520;880;
63;1;R0.1.13;624.1.26;Ансальдо (Х/624/2021);Программные детали;Сегменты днища пламенных труб;Сегмент днища, сторона воздуха;;PB0000025838;MBM__HA005G016;шт.;16;16; € 9 346,96 ; € 149 551,38 ; € 2 500,00 ; € 40 000,00 ; Доставлено ;11.07.2022;2078586;5000031012;7;1134;1650;1520;880;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Направляющая смесителя (верх);9424T10540010P1;;;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;1004101002;CASE 3;1;2150;3660;2450;2890;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Направляющая смесителя (низ);0257T10540020P1;;;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;1004101002;CASE 3;9;2150;3660;2450;2890;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Смеситель в сборе;"ЛЕВЫЙ 
в состав должны быть в том числе включены:
- смеситель (S10577XC009)
- направляющие боковые и верх / низ (поставляются отдельно от смесителя) (9424T10540010P1; 0257T10540020P1)
без керамического покрытия, с 4 направляющими в комплекте";PB0000258914;;шт.;1;1; € 464 474,62 ; € 464 474,62 ; € 320 000,00 ; € 320 000,00 ; Доставлено ;11.07.2022;1004101002;CASE 3;10;2150;3660;2450;2890;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Направляющая смесителя (верх);9424T10540010P1;;;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;1004101002;CASE 4;1;2150;3660;2450;2890;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Направляющая смесителя (низ);0257T10540020P1;;;шт.;2;; € -   ; € -   ; € -   ; € -   ; Доставлено ;11.07.2022;1004101002;CASE 4;9;2150;3660;2450;2890;
64;0,166666667;R0.1.14;624.1.49;Ансальдо (Х/624/2021);Программные детали;Смесители;Смеситель в сборе;"ПРАВЫЙ 
в состав должны быть в том числе включены:
- смеситель (S10577XC009)
- направляющие боковые и верх / низ (поставляются отдельно от смесителя) (9424T10540010P1; 0257T10540020P1)
без керамического покрытия, с 4 направляющими в комплекте";PB0000258914;;шт.;1;1; € 464 474,62 ; € 464 474,62 ; € 320 000,00 ; € 320 000,00 ; Доставлено ;11.07.2022;1004101002;CASE 4;10;2150;3660;2450;2890;
65;1;R0.2.01;621.1.55;Ансальдо (Х/621/2021);Другие детали;Сегментные уплотнительные кольца НАТ;Сегментное уплотнительное кольцо 2-й ступени турбины;;PB0000009052;MBA47HA032G001;шт.;1;1; € 34 693,95 ; € 34 693,95 ; € 22 912,18 ; € 22 912,18 ; Доставлено ;06.07.2022;2078174;5000030675;50;570;1550;1220;1000;
66;1;R0.2.02;621.1.56;Ансальдо (Х/621/2021);Другие детали;Сегментные уплотнительные кольца НАТ;Сегментное уплотнительное кольцо 3-й ступени турбины;;PB0000009053;MBA47HA033G001;шт.;1;1; € 35 266,20 ; € 35 266,20 ; € 22 738,28 ; € 22 738,28 ; Доставлено ;06.07.2022;2078174;5000030675;51;570;1550;1220;1000;
67;1;R0.2.03;621.1.57;Ансальдо (Х/621/2021);Другие детали;Сегментные уплотнительные кольца НАТ;Сегментное уплотнительное кольцо 4-й ступени турбины;;PB0000007762;MBA47HA034G001;шт.;1;1; € 39 566,93 ; € 39 566,93 ; € 25 123,80 ; € 25 123,80 ; Доставлено ;06.07.2022;2078833;5000031238;1;184;840;830;750;
68;1;R0.2.04;624.1.48;Ансальдо (Х/624/2021);Другие детали;Комбинированная двухтопливная горелка;Горелка двухтопливная в сборе;"в сборе
в состав должны быть в том числе включены:
- корпус горелки
- форсунка жидкого топлива
- электрод";PB0000167815;;компл.;16;0; € 28 937,89 ; € 463 006,30 ; € 21 332,50 ; € 341 320,00 ;;;;;;;;;;
69;0,5;R0.2.05.01;624.1.34;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Газораспределитель в сборе с диагональными завихрителями;"в сборе
выполнен из материалов:
- патрубки - NiCr23Co12Mo
- внешний конус диагонального завихрителя - 16Mo3
остальные элементы - 16Mo3

с предустановленными резьбовыми вставками";PB0000272785;;компл.;1;1; € 247 784,22 ; € 247 784,22 ; € 225 000,00 ; € 225 000,00 ; Доставлено ;11.07.2022;2079279;5000032913;1;624;1820;1820;900;
69;0,5;R0.2.05.01;624.1.34;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Газораспределитель в сборе с диагональными завихрителями;"в сборе
выполнен из материалов:
- патрубки - NiCr23Co12Mo
- внешний конус диагонального завихрителя - 16Mo3
остальные элементы - 16Mo3

с предустановленными резьбовыми вставками";PB0000272785;;компл.;1;1; € 247 784,22 ; € 247 784,22 ; € 225 000,00 ; € 225 000,00 ; Доставлено ;11.07.2022;2079279;5000032914;3;578;1820;1820;900;
70;1;R0.2.05.02;624.1.35;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Уплотнение круглое;;PB0000001708;MBP__KV017G005;шт.;4;4; € 86,43 ; € 345,71 ; € 78,48 ; € 313,92 ; Доставлено ;11.07.2022;2078441;5000030793;3;2138;2660;1150;1300;
71;1;R0.2.05.03;624.1.36;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Уплотнение круглое;;PB0000001709;MBP__KV017G006;шт.;2;2; € 147,70 ; € 295,40 ; € 134,12 ; € 268,24 ; Доставлено ;11.07.2022;2078441;5000030793;4;2138;2660;1150;1300;
72;1;R0.2.05.04;624.1.37;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Болт;;PB0000001783;MBP__KV017G007;шт.;32;32; € 30,84 ; € 986,73 ; € 28,00 ; € 896,00 ; Доставлено ;11.07.2022;2078441;5000030793;5;2138;2660;1150;1300;
73;1;R0.2.05.05;624.1.38;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Шайба;;PB0000000488;MBP__KV017G008;шт.;32;32; € 11,01 ; € 352,40 ; € 10,00 ; € 320,00 ; Доставлено ;11.07.2022;2078441;5000030793;6;2138;2660;1150;1300;
74;1;R0.2.05.06;624.1.39;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Гайка шестигранная;;PB0000000619;MBP__KV017G009;шт.;16;16; € 18,94 ; € 303,07 ; € 17,20 ; € 275,20 ; Доставлено ;11.07.2022;2078441;5000030793;7;2138;2660;1150;1300;
75;1;R0.2.05.07;624.1.40;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Шпилька;;PB0000002469;MBP__KV017G012;шт.;16;16; € 75,11 ; € 1 201,70 ; € 68,20 ; € 1 091,20 ; Доставлено ;11.07.2022;2078441;5000030793;8;2138;2660;1150;1300;
76;1;R0.2.05.08;624.1.41;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Кольцо дистанционное;;PB0000006410;MBP__KV017G014;шт.;2;0; € 32,73 ; € 65,46 ; € 29,72 ; € 59,44 ;;;;;;;;;;
77;1;R0.2.05.09;624.1.42;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Пластина;;PB0000151877;MBP__KV017G015;шт.;32;32; € 33,04 ; € 1 057,21 ; € 30,00 ; € 960,00 ; Доставлено ;11.07.2022;2078441;5000030793;9;2138;2660;1150;1300;
78;1;R0.2.05.10;624.1.43;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Шайба стопорная парная;;PB0000001325;MBP__KV017G016;шт.;64;64; € 24,78 ; € 1 585,82 ; € 22,50 ; € 1 440,00 ; Доставлено ;11.07.2022;2078441;5000030793;10;2138;2660;1150;1300;
79;1;R0.2.05.11;624.1.44;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Болт;;PB0000006790;MBP__KV017G017;шт.;64;64; € 26,43 ; € 1 691,54 ; € 24,00 ; € 1 536,00 ; Доставлено ;11.07.2022;2078441;5000030793;11;2138;2660;1150;1300;
80;1;R0.2.05.12;624.1.45;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Прокладка, S=2,0;;PB0000007505;MBP__KV017G019;шт.;64;64; € 22,03 ; € 1 409,62 ; € 20,00 ; € 1 280,00 ; Доставлено ;11.07.2022;2078441;5000030793;12;2138;2660;1150;1300;
81;1;R0.2.05.13;624.1.46;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Прокладка, S=1,0;;PB0000007506;MBP__KV017G020;шт.;64;64; € 22,03 ; € 1 409,62 ; € 20,00 ; € 1 280,00 ; Доставлено ;11.07.2022;2078441;5000030793;13;2138;2660;1150;1300;
82;1;R0.2.05.14;624.1.47;Ансальдо (Х/624/2021);Другие детали;Газораспределитель;Прокладка, S=0,5;;PB0000033932;;шт.;64;0; € 22,03 ; € 1 409,62 ; € 20,00 ; € 1 280,00 ;;;;;;;;;;
83;0,071428571;R0.2.06.01;624.1.01.01;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;"ЛЕВАЯ 
в сборе; признаки отнесения к ""версии 6"": 
- замковый ряд плитки - F (высота - 200 мм)
- без окон вторичного воздуха
- зазор «плитка - F-кольцо» - 9 мм
- без защитных наплавок на F-кольце и опорном кольце плитки

в состав должны быть в том числе включены:
- держатели
- плитка
- дефлектор (отдельно, не приварен)

без каркаса днища";PB0000250016;;компл.;1;1; € 374 542,39 ; € 374 542,39 ; € 230 000,00 ; € 230 000,00 ; Доставлено ;12.07.2022;2078570;5000030865;1;5800;2850;2500;3100;
83;0,071428571;R0.2.06.01;624.1.01.01;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;"ПРАВАЯ 
в сборе; признаки отнесения к ""версии 6"": 
- замковый ряд плитки - F (высота - 200 мм)
- без окон вторичного воздуха
- зазор «плитка - F-кольцо» - 9 мм
- без защитных наплавок на F-кольце и опорном кольце плитки

в состав должны быть в том числе включены:
- держатели
- плитка
- дефлектор (отдельно, не приварен)

без каркаса днища";PB0000250016;;компл.;1;1; € 374 542,39 ; € 374 542,39 ; € 230 000,00 ; € 230 000,00 ; Доставлено ;12.07.2022;2078570;5000030866;8;5800;2850;2500;3100;
83;0,071428571;R0.2.06.02;624.1.01.02;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEAMLESS PIPES 60,3 X SP.4;kg 0,700 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;2;5800;2850;2500;3100;
83;0,071428571;R0.2.06.02;624.1.01.02;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEAMLESS PIPES 60,3 X SP.4;kg 0,700 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;9;5800;2850;2500;3100;
83;0,071428571;R0.2.06.03;624.1.01.03;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEAMLESS PIPES 60,3 X SP.4;kg 0,700 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;3;5800;2850;2500;3100;
83;0,071428571;R0.2.06.03;624.1.01.03;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEAMLESS PIPES 60,3 X SP.4;kg 0,700 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;10;5800;2850;2500;3100;
83;0,071428571;R0.2.06.04;624.1.01.04;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;DISK J2-10-8;kg 0,600 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;4;5800;2850;2500;3100;
83;0,071428571;R0.2.06.04;624.1.01.04;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;DISK J2-10-8;kg 0,600 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;11;5800;2850;2500;3100;
83;0,071428571;R0.2.06.05;624.1.01.05;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SUPPORT;kg 0,600 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;5;5800;2850;2500;3100;
83;0,071428571;R0.2.06.05;624.1.01.05;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SUPPORT;kg 0,600 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;12;5800;2850;2500;3100;
83;0,071428571;R0.2.06.06;624.1.01.06;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;PLATE;kg 2,200 each;;шт.;2;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;6;5800;2850;2500;3100;
83;0,071428571;R0.2.06.06;624.1.01.06;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;PLATE;kg 2,200 each;;шт.;2;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;13;5800;2850;2500;3100;
83;0,071428571;R0.2.06.07;624.1.01.07;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEGMENT;kg 0,100 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030865;7;5800;2850;2500;3100;
83;0,071428571;R0.2.06.07;624.1.01.07;Ансальдо (Х/624/2021);Другие детали;Пламенная труба;Пламенная труба в сборе;SEGMENT;kg 0,100 each;;шт.;1;;; € -   ;; € -   ; Доставлено ;12.07.2022;2078570;5000030866;14;5800;2850;2500;3100;
84;1;R0.2.07;622.1.20;Ансальдо (Х/622/2021);Другие детали;Смеситель;Кольцо охлаждающего воздуха;без керамического покрытия, с упрочнением поверхности в местах стыка с внутренним корпусом;;MBM__HA020G001;шт.;2;2; € 27 004,38 ; € 54 008,76 ; € 25 000,00 ; € 50 000,00 ; Доставлено ;04.07.2022;2078446;5000030710;1;276;1650;1520;880;
85;1;R0.2.08;624.1.60;Ансальдо (Х/624/2021);Другие детали;Опорный подшипник турбины;Подшипник турбины в сборе;;PB0000008135;MBD__HD006G;шт.;1;1; € 54 008,76 ; € 54 008,76 ; € 23 275,00 ; € 23 275,00 ; Доставлено ;11.07.2022;2078441;5000030798;37;432;1240;830;750;
86;1;R0.2.10;610.1.1;ДМЭнерджи (Х/610/2021);Другие детали;ГМН;Насос NSS65-200/02 с защитной сеткой без электродвигателя;Поставляется вместе с муфтой;;;шт.;1;0; € 28 933,11 ; € 28 933,11 ; € 16 300,00 ; € 16 300,00 ;;;;;;;;;;
87;1;R0.2.11;610.1.1;ДМЭнерджи (Х/610/2021);Другие детали;ГМН;Муфта Poly-Norm 55 AR;Поставляется вместе с насосом;;;шт.;1;0; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;
88;1;R0.2.12;596.1.1;Электротехника (Х/596/2021);Другие детали;ГМН;Электродвигатель 1LE1002;Электродвигатель Siemens 1LE1002-2AA53-4GA4-Z B02+D22+D47+Q02+Y80;;;шт.;1;0; € 3 472,15 ; € 3 472,15 ; € 1 956,10 ; € 1 956,10 ;;;;;;;;;;
89;1;R3.1.001;621.1.09;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Шпонка 10х10х10;;PB0000005891;MBA__HB041G301;шт.;88;88; € 21,81 ; € 1 919,34 ; € 25,74 ; € 2 265,12 ; Доставлено ;06.07.2022;2078174;5000030675;1;570;1550;1220;1000;
90;1;R3.1.002;621.1.10;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Шпонка 10х10х10,5;;PB0000006107;MBA__HB041G302;шт.;88;88; € 21,81 ; € 1 919,34 ; € 25,74 ; € 2 265,12 ; Доставлено ;06.07.2022;2078174;5000030675;2;570;1550;1220;1000;
91;1;R3.1.003;621.1.11;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Шпонка 10х10х12;;;;шт.;20;0; € 21,81 ; € 436,21 ; € 25,74 ; € 514,80 ;;;;;;;;;;
92;1;R3.1.004;621.1.12;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Штифт стопорный М10х25;;PB0000000047;MBA__HB041G004;шт.;2;2; € 21,81 ; € 43,62 ; € 25,74 ; € 51,48 ; Доставлено ;06.07.2022;2078174;5000030675;3;570;1550;1220;1000;
93;1;R3.1.005;621.1.13;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Стопор;;PB0000006140;MBA__HB041G005;шт.;89;89; € 6,78 ; € 603,31 ; € 8,00 ; € 712,00 ; Доставлено ;06.07.2022;2078174;5000030675;4;570;1550;1220;1000;
94;1;R3.1.006;621.1.14;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Стопор;;PB0000006141;MBA__HB041G006;шт.;89;89; € 6,78 ; € 603,31 ; € 8,00 ; € 712,00 ; Доставлено ;06.07.2022;2078174;5000030675;5;570;1550;1220;1000;
95;1;R3.1.007;621.1.15;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Пластина стопорная;;PB0000006153;MBA__HB041G010;шт.;89;89; € 21,18 ; € 1 885,34 ; € 25,00 ; € 2 225,00 ; Доставлено ;06.07.2022;2078174;5000030675;6;570;1550;1220;1000;
96;1;R3.1.008;621.1.16;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Шпонка 10х10х10;;PB0000005891;MBA__HB042G301;шт.;88;88; € 21,81 ; € 1 919,34 ; € 25,74 ; € 2 265,12 ; Доставлено ;06.07.2022;2078174;5000030675;8;570;1550;1220;1000;
97;1;R3.1.009;621.1.17;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Шпонка 10х10х10,5;;PB0000006107;MBA__HB042G302;шт.;88;88; € 21,81 ; € 1 919,34 ; € 25,74 ; € 2 265,12 ; Доставлено ;06.07.2022;2078174;5000030675;9;570;1550;1220;1000;
98;1;R3.1.010;621.1.18;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Шпонка 10х10х12;;;;шт.;20;0; € 21,81 ; € 436,21 ; € 25,74 ; € 514,80 ;;;;;;;;;;
99;1;R3.1.011;621.1.19;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Штифт стопорный М10х25;;PB0000000047;MBA__HB042G004;шт.;2;2; € 21,81 ; € 43,62 ; € 25,74 ; € 51,48 ; Доставлено ;06.07.2022;2078174;5000030675;52;570;1550;1220;1000;
100;1;R3.1.012;621.1.20;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Стопор;;PB0000005892;MBA__HB042G005;шт.;89;89; € 6,78 ; € 603,31 ; € 8,00 ; € 712,00 ; Доставлено ;06.07.2022;2078174;5000030675;10;570;1550;1220;1000;
101;1;R3.1.013;621.1.21;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Стопор;;PB0000005893;MBA__HB042G006;шт.;89;89; € 6,78 ; € 603,31 ; € 8,00 ; € 712,00 ; Доставлено ;06.07.2022;2078174;5000030675;11;570;1550;1220;1000;
102;1;R3.1.014;621.1.22;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Пластина стопорная;;PB0000005896;MBA__HB042G010;шт.;89;89; € 17,79 ; € 1 583,69 ; € 21,00 ; € 1 869,00 ; Доставлено ;06.07.2022;2078174;5000030675;12;570;1550;1220;1000;
103;1;R3.1.015;621.1.23;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Шпонка 15х15х15;;PB0000000691;MBA__HB043G301;шт.;62;62; € 24,83 ; € 1 539,29 ; € 29,30 ; € 1 816,60 ; Доставлено ;06.07.2022;2078174;5000030675;13;570;1550;1220;1000;
104;1;R3.1.016;621.1.24;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Шпонка 15х15х15,5;;PB0000000692;MBA__HB043G302;шт.;62;62; € 24,83 ; € 1 539,29 ; € 29,30 ; € 1 816,60 ; Доставлено ;06.07.2022;2078174;5000030675;14;570;1550;1220;1000;
105;1;R3.1.017;621.1.25;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Штифт М16х42;;PB0000006136;MBA__HB043G004;шт.;2;2; € 20,34 ; € 40,67 ; € 24,00 ; € 48,00 ; Доставлено ;06.07.2022;2078174;5000030675;15;570;1550;1220;1000;
106;1;R3.1.018;621.1.26;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Стопор;;PB0000001814;MBA__HB043G005;шт.;63;63; € 27,12 ; € 1 708,25 ; € 32,00 ; € 2 016,00 ; Доставлено ;06.07.2022;2078174;5000030675;16;570;1550;1220;1000;
107;1;R3.1.019;621.1.27;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Пластина стопорная;;PB0000006301;MBA__HB041G010;шт.;8;8; € 59,31 ; € 474,51 ; € 70,00 ; € 560,00 ; Доставлено ;06.07.2022;2078174;5000030675;17;570;1550;1220;1000;
108;1;R3.1.020;621.1.28;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Стопор;;PB0000001823;MBA__HB044G005;шт.;44;44; € 37,28 ; € 1 640,46 ; € 44,00 ; € 1 936,00 ; Доставлено ;06.07.2022;2078174;5000030675;19;570;1550;1220;1000;
109;1;R3.1.021;621.1.29;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Пластина стопорная;;PB0000006296;MBA__HB044G006;шт.;88;88; € 27,96 ; € 2 460,69 ; € 33,00 ; € 2 904,00 ; Доставлено ;06.07.2022;2078174;5000030675;20;570;1550;1220;1000;
110;1;R3.1.022;621.1.30;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Пластина стопорная;;PB0000006302;MBA__HB044G010;шт.;8;8; € 64,40 ; € 515,19 ; € 76,00 ; € 608,00 ; Доставлено ;06.07.2022;2078174;5000030675;21;570;1550;1220;1000;
111;1;R3.1.023;621.1.31;Ансальдо (Х/621/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Пластина стопорная;;PB0000006320;MBA__HB044G012;шт.;11;11; € 118,63 ; € 1 304,91 ; € 140,00 ; € 1 540,00 ; Доставлено ;06.07.2022;2078174;5000030675;22;570;1550;1220;1000;
112;1;R3.1.024;621.1.32;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006167;MBA__HA005G004;шт.;46;46; € 118,80 ; € 5 464,70 ; € 140,20 ; € 6 449,20 ; Доставлено ;06.07.2022;2078174;5000030675;24;570;1550;1220;1000;
113;1;R3.1.025;621.1.33;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006164;MBA__HA005G005;шт.;46;46; € 70,33 ; € 3 235,17 ; € 83,00 ; € 3 818,00 ; Доставлено ;06.07.2022;2078174;5000030675;25;570;1550;1220;1000;
114;1;R3.1.026;621.1.34;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Штифт цилиндрический;;PB0000006154;MBA__HA005G006;шт.;46;46; € 11,54 ; € 530,88 ; € 13,62 ; € 626,52 ; Доставлено ;06.07.2022;2078174;5000030675;28;570;1550;1220;1000;
115;1;R3.1.027;621.1.35;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006168;MBA__HA005G008;шт.;48;48; € 109,65 ; € 5 263,03 ; € 129,40 ; € 6 211,20 ; Доставлено ;06.07.2022;2078174;5000030675;29;570;1550;1220;1000;
116;1;R3.1.028;621.1.36;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006162;MBA__HA005G009;шт.;48;48; € 68,63 ; € 3 294,48 ; € 81,00 ; € 3 888,00 ; Доставлено ;06.07.2022;2078174;5000030675;30;570;1550;1220;1000;
117;1;R3.1.029;621.1.37;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Штифт цилиндрический;;PB0000006103;MBA__HA005G010;шт.;99;99; € 11,51 ; € 1 139,19 ; € 13,58 ; € 1 344,42 ; Доставлено ;06.07.2022;2078174;5000030675;31;570;1550;1220;1000;
118;1;R3.1.030;621.1.38;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006308;MBA__HA005G012;шт.;10;10; € 111,68 ; € 1 116,80 ; € 131,80 ; € 1 318,00 ; Доставлено ;06.07.2022;2078174;5000030675;32;570;1550;1220;1000;
119;1;R3.1.031;621.1.39;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Штифт;;PB0000006104;MBA__HA005G013;шт.;20;20; € 12,71 ; € 254,20 ; € 15,00 ; € 300,00 ; Доставлено ;06.07.2022;2078174;5000030675;34;570;1550;1220;1000;
120;1;R3.1.032;621.1.40;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006163;MBA__HA005G015;шт.;51;51; € 77,53 ; € 3 954,14 ; € 91,50 ; € 4 666,50 ; Доставлено ;06.07.2022;2078174;5000030675;35;570;1550;1220;1000;
121;0,5;R3.1.033;621.1.41;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;;PB0000006169;MBA__HA005G016;шт.;50;50; € 73,72 ; € 3 685,95 ; € 87,00 ; € 4 350,00 ; Доставлено ;06.07.2022;2078174;5000030675;36;570;1550;1220;1000;
121;0,5;R3.1.033;621.1.41;Ансальдо (Х/621/2021);Малые детали;Крепеж направляющего аппарата турбины;Уплотнение;недостаток;PB0000006169;MBA__HA005G016;шт.;1;0; € 73,72 ; € 73,72 ; € 87,00 ; € 87,00 ;;;;;;;;;;
