ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
283;1;R3;1820.1.227;ЗТСР (Х/1820/2021);Малые детали;обойма компрессора, горизонтальный разъём;Малые детали;Прокладка;;;PB0000006036;-;шт.;1;;1;;1; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
284;1;R3;1820.1.228;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000002047;MBA__HA092G045;шт.;2;2;0;2;; € 40,01 ; € 80,01 ; € 25,00 ; € 50,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
285;1;R3;1820.1.229;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба стопорная;;;PB0000002051;MBA__HA092G024;шт.;4;4;0;4;; € 32,00 ; € 128,02 ; € 20,00 ; € 80,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
286;1;R3;1820.1.230;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Камень кулисный;;;PB0000007166;MBA__HA092G025;шт.;4;4;0;;; € 1 048,14 ; € 4 192,54 ; € 655,00 ; € 2 620,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
287;1;R3;1820.1.231;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Камень кулисный;;;PB0000007168;MBA__HA092G041;шт.;4;4;0;;; € 1 569,80 ; € 6 279,21 ; € 981,00 ; € 3 924,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
288;1;R3;1820.1.232;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000002055;MBA__HA092G050;шт.;4;4;0;1;; € 14,40 ; € 57,61 ; € 9,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
289;1;R3;1820.1.233;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000002052;MBA__HA092G052;шт.;4;4;0;;; € 20,80 ; € 83,21 ; € 13,00 ; € 52,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
290;1;R3;1820.1.234;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000001527;MBA__HA092G061;шт.;6;6;0;3;; € 46,41 ; € 278,44 ; € 29,00 ; € 174,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
291;1;R3;1820.1.235;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;Кольцо уплотнительное DIN7603 - А56х64 - Cu;PB0000001528;MBA__HA092G062;шт.;6;6;0;6;; € 11,20 ; € 67,21 ; € 7,00 ; € 42,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
292;1;R3;1820.1.236;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт калиброванный;;;PB0000233494;MBA__HA087G004;шт.;3;3;0;;; € 460,86 ; € 1 382,58 ; € 288,00 ; € 864,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
293;1;R3;1820.1.237;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт с шестигранной головкой;;;PB0000011799;MBA__HA092G020;шт.;8;8;0;2;; € 1,60 ; € 12,80 ; € 1,00 ; € 8,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
294;1;R3;1820.1.238;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000233495;MBA__HA087G006;шт.;7;7;0;;; € 84,81 ; € 593,68 ; € 53,00 ; € 371,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
295;1;R3;1820.1.239;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический (демонтируется после сборки);;;PB0000000042;MBA__HA087G009;шт.;8;8;0;5;; € 80,01 ; € 640,08 ; € 50,00 ; € 400,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
296;1;R3;1820.1.240;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Проволока;;;PB0000008035;MBA__HA020G003;м;6;6;0;;; € 4,80 ; € 29,76 ; € 3,00 ; € 18,60 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
297;1;R3;1820.1.241;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000013073;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
298;1;R3;1820.1.242;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000013074;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
299;1;R3;1820.1.243;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000013075;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
300;1;R3;1820.1.244;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Уплотнение;;;PB0000013076;-;шт.;1;1;0;;; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
301;1;R3;1820.1.245;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец;;;PB0000013078;-;шт.;2;2;0;1;; € 64,01 ; € 128,02 ; € 40,00 ; € 80,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
302;1;R3;1820.1.246;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец;;;PB0000013079;-;шт.;2;2;0;1;; € 44,81 ; € 89,61 ; € 28,00 ; € 56,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
303;1;R3;1820.1.247;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец;;;PB0000013080;-;шт.;2;2;0;1;; € 52,81 ; € 105,61 ; € 33,00 ; € 66,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
304;1;R3;1820.1.248;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000009100;-;шт.;12;12;0;;; € 28,80 ; € 345,64 ; € 18,00 ; € 216,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
305;1;R3;1820.1.249;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец;;;PB0000013077;-;шт.;12;12;0;;; € 44,81 ; € 537,67 ; € 28,00 ; € 336,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
306;1;R3;1820.1.250;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт калиброванный;;;PB0000233497;MBA__HA090G009;шт.;1;1;0;;; € 424,05 ; € 424,05 ; € 265,00 ; € 265,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
307;1;R3;1820.1.251;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000001023;MBA__HA005G026;шт.;1;1;0;1;; € 16,00 ; € 16,00 ; € 10,00 ; € 10,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
308;1;R3;1820.1.252;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006308;MBA__HA005G012;шт.;10;10;0;20;; € 41,61 ; € 416,05 ; € 26,00 ; € 260,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
309;1;R3;1820.1.253;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006309;MBA__HA005G018;шт.;10;10;0;18;; € 38,40 ; € 384,05 ; € 24,00 ; € 240,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
310;1;R3;1820.1.254;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт цилиндрический;;;PB0000006265;MBA__HA005G802;шт.;10;10;0;;; € 19,20 ; € 192,02 ; € 12,00 ; € 120,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
311;1;R3;1820.1.255;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006310;MBA__HA005G025;шт.;10;;10;10;0; € 38,40 ; € 384,05 ; € 24,00 ; € 240,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
312;1;R3;1820.1.256;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000006336;MBA__HA005G042;шт.;10;;10;10;0; € 12,80 ; € 128,02 ; € 8,00 ; € 80,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
313;1;R3;1820.1.257;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Шпилька;;;PB0000006108;MBA__HA005G043;шт.;10;10;0;10;; € 16,00 ; € 160,02 ; € 10,00 ; € 100,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
314;1;R3;1820.1.258;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000006105;MBA__HA005G048;шт.;10;10;0;;; € 9,60 ; € 96,01 ; € 6,00 ; € 60,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
315;1;R3;1820.1.259;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт;;;PB0000006104;MBA__HA005G013;шт.;20;2;18;40;-22; € 12,80 ; € 256,03 ; € 8,00 ; € 160,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
316;1;R3;1820.1.260;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006167;MBA__HA005G004;шт.;46;46;0;92;; € 49,61 ; € 2 281,89 ; € 31,00 ; € 1 426,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
317;1;R3;1820.1.261;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006164;MBA__HA005G005;шт.;46;46;0;90;; € 27,20 ; € 1 251,36 ; € 17,00 ; € 782,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
318;1;R3;1820.1.262;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000006154;MBA__HA005G006;шт.;46;;46;92;-46; € 17,60 ; € 809,70 ; € 11,00 ; € 506,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
319;1;R3;1820.1.263;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006173;MBA__HA005G028;шт.;46;;46;92;-46; € 22,40 ; € 1 030,53 ; € 14,00 ; € 644,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
320;1;R3;1820.1.264;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006168;MBA__HA005G008;шт.;48;48;0;96;; € 40,01 ; € 1 920,25 ; € 25,00 ; € 1 200,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
321;1;R3;1820.1.265;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006162;MBA__HA005G009;шт.;48;48;0;96;; € 27,20 ; € 1 305,77 ; € 17,00 ; € 816,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
322;1;R3;1820.1.266;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006163;MBA__HA005G015;шт.;51;51;0;102;; € 35,20 ; € 1 795,43 ; € 22,00 ; € 1 122,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
323;1;R3;1820.1.267;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006169;MBA__HA005G016;шт.;51;;51;100;-49; € 27,20 ; € 1 387,38 ; € 17,00 ; € 867,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
324;1;R3;1820.1.268;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006165;MBA__HA005G020;шт.;55;;55;55;0; € 49,61 ; € 2 728,35 ; € 31,00 ; € 1 705,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
325;1;R3;1820.1.269;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Уплотнение;;;PB0000006303;MBA__HA005G021;шт.;55;;55;55;0; € 28,80 ; € 1 584,20 ; € 18,00 ; € 990,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
326;1;R3;1820.1.270;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000006264;MBA__HA005G801;шт.;55;;55;45;10; € 19,20 ; € 1 056,14 ; € 12,00 ; € 660,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
327;1;R3;1820.1.271;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Шайба стопорная;;;PB0000006155;MBA__HA005G023;шт.;55;;55;55;0; € 8,00 ; € 440,06 ; € 5,00 ; € 275,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
328;1;R3;1820.1.272;ЗТСР (Х/1820/2021);Малые детали;Крепеж направляющего аппарата турбины;Малые детали;Штифт цилиндрический;;;PB0000006103;MBA__HA005G010;шт.;99;;99;198;-99; € 14,40 ; € 1 425,78 ; € 9,00 ; € 891,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
329;1;R3;1820.1.273;ЗТСР (Х/1820/2021);Малые детали;турбина, крепёж обоймы;Малые детали;Камень кулисный;;;PB0000001871;MBA__HA005G034;шт.;2;1;1;;1; € 1 677,02 ; € 3 354,03 ; € 1 048,00 ; € 2 096,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
330;1;R3;1820.1.274;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000006305;MBA__HA005G038;шт.;2;2;0;;; € 35,20 ; € 70,41 ; € 22,00 ; € 44,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
331;1;R3;1820.1.275;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000000722;MBA__HA005G041;шт.;2;2;0;4;; € 52,81 ; € 105,61 ; € 33,00 ; € 66,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
332;1;R3;1820.1.276;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт с цилиндрической головкой;;;PB0000000513;MBA__HA005G046;шт.;2;2;0;4;; € 8,00 ; € 16,00 ; € 5,00 ; € 10,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
333;1;R3;1820.1.277;ЗТСР (Х/1820/2021);Малые детали;турбина, крепёж обоймы;Малые детали;Камень кулисный;;;PB0000001873;MBA__HA005G052;шт.;2;;2;;2; € 1 468,99 ; € 2 937,98 ; € 918,00 ; € 1 836,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
334;1;R3;1820.1.278;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000001890;MBA__HA005G057;шт.;2;2;0;2;; € 28,80 ; € 57,61 ; € 18,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
335;1;R3;1820.1.279;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000001898;MBA__HA005G058;шт.;2;2;0;1;; € 44,81 ; € 89,61 ; € 28,00 ; € 56,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
336;1;R3;1820.1.280;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический (демонтируется после сборки);;;PB0000000008;MBA__HA005G707;шт.;4;4;0;4;; € 54,41 ; € 217,63 ; € 34,00 ; € 136,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
337;1;R3;1820.1.281;ЗТСР (Х/1820/2021);Малые детали;турбина, крепёж горизонтального разъёма обоймы;Малые детали;Шпилька;;;PB0000006299;MBA__HA005G708;шт.;4;1;3;1;2; € 691,29 ; € 2 765,16 ; € 432,00 ; € 1 728,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
338;1;R3;1820.1.282;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000006138;MBA__HA005G705;шт.;6;6;0;1;; € 628,88 ; € 3 773,29 ; € 393,00 ; € 2 358,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
339;1;R3;1820.1.283;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000007104;MBA__HA005G045.1;шт.;8;8;0;;; € 470,46 ; € 3 763,68 ; € 294,00 ; € 2 352,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
340;1;R3;1820.1.284;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000007107;MBA__HA005G045.2;шт.;8;8;0;;; € 470,46 ; € 3 763,68 ; € 294,00 ; € 2 352,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
341;1;R3;1820.1.285;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000007106;MBA__HA005G045.3;шт.;8;8;0;;; € 470,46 ; € 3 763,68 ; € 294,00 ; € 2 352,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
342;1;R3;1820.1.286;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000007110;MBA__HA005G045.4;шт.;8;8;0;;; € 470,46 ; € 3 763,68 ; € 294,00 ; € 2 352,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
343;1;R3;1820.1.287;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000007111;MBA__HA005G045.5;шт.;8;8;0;;; € 470,46 ; € 3 763,68 ; € 294,00 ; € 2 352,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
344;1;R3;1820.1.288;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006740;MBA__HA005G704;шт.;10;10;0;1;; € 25,60 ; € 256,03 ; € 16,00 ; € 160,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
345;1;R3;1820.1.289;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка колпачковая;;;PB0000002719;MBA__HA005G706;шт.;10;10;0;2;; € 315,24 ; € 3 152,41 ; € 197,00 ; € 1 970,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
346;1;R3;1820.1.290;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000000382;MBA__HA005G056;шт.;12;12;0;4;; € 3,20 ; € 38,40 ; € 2,00 ; € 24,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
347;1;R3;1820.1.291;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000159714;MBA__HA005G044.1;шт.;40;40;0;;; € 313,64 ; € 12 545,62 ; € 196,00 ; € 7 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
348;1;R3;1820.1.292;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000159715;MBA__HA005G044.2;шт.;40;40;0;;; € 313,64 ; € 12 545,62 ; € 196,00 ; € 7 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
349;1;R3;1820.1.293;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000159716;MBA__HA005G044.3;шт.;40;40;0;;; € 313,64 ; € 12 545,62 ; € 196,00 ; € 7 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
350;1;R3;1820.1.294;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000159717;MBA__HA005G044.4;шт.;40;40;0;;; € 313,64 ; € 12 545,62 ; € 196,00 ; € 7 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
351;1;R3;1820.1.295;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000159718;MBA__HA005G044.5;шт.;40;40;0;;; € 313,64 ; € 12 545,62 ; € 196,00 ; € 7 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
352;1;R3;1820.1.296;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Вставка резьбовая;;;PB0000001493;-;шт.;24;24;0;6;; € 1,60 ; € 38,40 ; € 1,00 ; € 24,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
353;1;R3;1820.1.297;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Вставка резьбовая;;;PB0000001683;-;шт.;96;96;0;7;; € 16,00 ; € 1 536,20 ; € 10,00 ; € 960,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
354;1;R3;1820.1.298;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпиндель;;;PB0000007808;MBM__AA001G003;шт.;1;1;0;;; € 1 256,16 ; € 1 256,16 ; € 785,00 ; € 785,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
355;1;R3;1820.1.299;ЗТСР (Х/1820/2021);Малые детали;передаточный механизм привода окон охлаждающего воздуха;Малые детали;Гайка;;;PB0000001431;MBM__AA001G004;шт.;1;;1;;1; € 587,28 ; € 587,28 ; € 367,00 ; € 367,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
356;1;R3;1820.1.300;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Вилка;;;PB0000001432;MBM__AA001G005;шт.;1;1;0;;; € 672,09 ; € 672,09 ; € 420,00 ; € 420,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
357;1;R3;1820.1.301;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Втулка;;;PB0000006825;MBM__AA001G006;шт.;1;1;0;;; € 192,02 ; € 192,02 ; € 120,00 ; € 120,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
358;1;R3;1820.1.302;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Втулка;;;PB0000006827;MBM__AA001G007;шт.;1;1;0;;; € 320,04 ; € 320,04 ; € 200,00 ; € 200,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
359;1;R3;1820.1.303;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка накидная;;;PB0000006829;MBM__AA001G008;шт.;1;1;0;;; € 320,04 ; € 320,04 ; € 200,00 ; € 200,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
360;1;R3;1820.1.304;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо с резьбой;;;PB0000006831;MBM__AA001G009;шт.;1;1;0;;; € 256,03 ; € 256,03 ; € 160,00 ; € 160,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
361;1;R3;1820.1.305;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Соединение резьбовое;;;PB0000137072;MBM__HA003G050;шт.;2;2;0;;; € 168,02 ; € 336,04 ; € 105,00 ; € 210,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
362;1;R3;1820.1.306;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Имитатор плитки металлический;;;PB0000001349;MBM__HA004G040;шт.;2;2;0;;; € 840,11 ; € 1 680,22 ; € 525,00 ; € 1 050,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
363;1;R3;1820.1.307;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт шестигранный;;;PB0000130906;-;шт.;2;2;0;;; € 44,81 ; € 89,61 ; € 28,00 ; € 56,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
364;1;R3;1820.1.308;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка;;;PB0000000618;-;шт.;12;12;0;40;; € 17,60 ; € 211,23 ; € 11,00 ; € 132,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
365;1;R3;1820.1.309;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006888;-;шт.;12;12;0;65;; € 11,20 ; € 134,42 ; € 7,00 ; € 84,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
366;1;R3;1820.1.310;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шток с резьбой;;;PB0000006207;MBM__AA001G010;шт.;2;2;0;;; € 104,01 ; € 208,03 ; € 65,00 ; € 130,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
367;1;R3;1820.1.311;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000006102;MBM__AA001G012;шт.;2;2;0;;; € 116,82 ; € 233,63 ; € 73,00 ; € 146,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
368;1;R3;1820.1.312;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000001010;MBM__AA001G014;шт.;2;2;0;;; € 32,00 ; € 64,01 ; € 20,00 ; € 40,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
369;1;R3;1820.1.313;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка;;;PB0000000439;MBM__AA001G017;шт.;2;2;0;1;; € 32,00 ; € 64,01 ; € 20,00 ; € 40,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
370;1;R3;1820.1.314;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Проволока;;;PB0000000570;MBM__AA001G018;шт.;2;2;0;;; € 12,80 ; € 25,60 ; € 8,00 ; € 16,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
371;1;R3;1820.1.315;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Проволока;;;PB0000000571;MBM__AA001G021;шт.;2;2;0;;; € 28,80 ; € 57,61 ; € 18,00 ; € 36,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
372;1;R3;1820.1.316;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000006185;MBM__AA001G033;шт.;2;2;0;;; € 72,01 ; € 144,02 ; € 45,00 ; € 90,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
373;1;R3;1820.1.317;ЗТСР (Х/1820/2021);Малые детали;передаточный механизм привода окон охлаждающего воздуха;Малые детали;Шайба;;;PB0000006205;MBM__AA001G034;шт.;2;1;1;;1; € 16,00 ; € 32,00 ; € 10,00 ; € 20,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
374;1;R3;1820.1.318;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шплинт;;Шплинт 2x36 ГОСТ 397-97;PB0000000537;MBM__AA001G036;шт.;2;2;0;;; € 4,80 ; € 9,60 ; € 3,00 ; € 6,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
