ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
252;1;R3;1820.1.196;ЗТСР (Х/1820/2021);Малые детали;обойма компрессора, горизонтальный разъём;Малые детали;Прокладка;;;PB0000006124;-;шт.;1;;1;;1; € 336,04 ; € 336,04 ; € 210,00 ; € 210,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
253;1;R3;1820.1.197;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Прокладка;;;PB0000006128;-;шт.;2;2;0;;; € 168,02 ; € 336,04 ; € 105,00 ; € 210,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
254;1;R3;1820.1.198;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000006125;-;шт.;2;2;0;2;; € 76,81 ; € 153,62 ; € 48,00 ; € 96,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
255;1;R3;1820.1.199;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000013103;-;шт.;3;3;0;3;; € 4,80 ; € 14,40 ; € 3,00 ; € 9,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
256;1;R3;1820.1.200;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт с внутренним шестигранником;;;PB0000000425;-;шт.;4;4;0;;; € 1,60 ; € 6,40 ; € 1,00 ; € 4,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
257;1;R3;1820.1.201;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000000044;-;шт.;20;20;0;16;; € 20,80 ; € 416,05 ; € 13,00 ; € 260,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
258;1;R3;1820.1.202;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт;;;PB0000000256;-;шт.;21;21;0;10;; € 8,00 ; € 168,02 ; € 5,00 ; € 105,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
259;1;R3;1820.1.203;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт;;;PB0000000259;-;шт.;11;11;0;5;; € 8,00 ; € 88,01 ; € 5,00 ; € 55,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
260;1;R3;1820.1.204;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000001883;-;шт.;1;1;0;1;; € 72,01 ; € 72,01 ; € 45,00 ; € 45,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
261;1;R3;1820.1.205;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Винт с цилиндрической головкой;;;PB0000013117;-;шт.;1;1;0;1;; € 8,00 ; € 8,00 ; € 5,00 ; € 5,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
