№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
568;Малые детали;Уплотнение;;PB0000006935;-;шт.;19;1
569;Малые детали;Уплотнение;;PB0000002767;-;шт.;2;2
570;Малые детали;Прокладка спирально-навитая;;PB0000008690;-;шт.;4;59
571;Малые детали;Прокладка;;PB0000000754;-;шт.;5;15
572;Малые детали;Кольцо уплотнительное;;PB0000009273;MBA__CT001G011;шт.;14;4
573;Малые детали;Болт;;PB0000015756;-;шт.;2;25
574;Малые детали;Болт;;PB0000006059;-;шт.;3;27
575;Малые детали;Кольцо уплотнительное IBC400PN10х2;;PB0000009350;MBA__BR020G011;шт.;9;37
576;Малые детали;Гайка шестигранная M24;;PB0000000012;MBA__BR020G010;шт.;15;1
577;Малые детали;Уплотнение;;PB0000016848;-;шт.;4;8
578;Малые детали;Уплотнение;;PB0000007729;-;шт.;2;2
579;Малые детали;Уплотнение;;PB0000007730;-;шт.;2;2
580;Малые детали;Уплотнение;;PB0000008364;-;шт.;2;2
581;Малые детали;Уплотнение;;PB0000038794;-;шт.;3;12
582;Малые детали;Уплотнение;;PB0000009175;MBA__HA001G023;шт.;2;13
583;Малые детали;Болт;;PB0000009310;MBA__HA001G031;шт.;18;66
584;Малые детали;Штифт цилиндрический;;PB0000014285;MBA__MK001G005;шт.;4;10
585;Малые детали;Винт с потайной головкой;;PB0000011089;MBA__MK001G007;шт.;3;2
586;Малые детали;Болт;;PB0000016603;MBA__MK001G003;шт.;24;262
587;Малые детали;Гайка колпачковая;;PB0000016604;MBA__MK001G004;шт.;48;52
588;Малые детали;Болт;;PB0000033649;-;шт.;24;288
589;Малые детали;Гайка шестигранная DIN936 M20х1,5-17H;;;;шт.;1;
590;Малые детали;Кольцо стопорное DIN471 - 40х1,75;;;;шт.;2;
591;Малые детали;Подшипник 6308 JC3;;;;шт.;2;
592;Малые детали;Уплотнительное кольцо;266,29x3,53 VA179 2-275, производитель - Parker;3030173;;шт.;1;
593;Малые детали;Шпилька резьбовая;шпилька DIN 939 М16х40 А4-70;2010638;00939.940.0160.040;шт.;4;
594;Малые детали;Шестигранная гайка;гайка шестигранная нормальная ISO 4032-М16-А4-70;2110019;04032.940.0160.000;шт.;4;
595;Малые детали;Запорная пробка с уплотнением;VSU 16-42, производитель - AVIT;2013154;;шт.;2;
596;Малые детали;Уплотнительное кольцо;355,19x3,53 VA179 2-280, производитель - Parker;3030073;;шт.;2;
597;Малые детали;Шпилька резьбовая;шпилька DIN 939 М16х35 5.6;2009088;00939.504.0160.035;шт.;4;
598;Малые детали;Шестигранная гайка;гайка шестигранная нормальная ISO 4032-М16-8-A2B;2100007;04032.810.0160.000;шт.;4;
599;Малые детали;Прокладка;уплотнительное кольцо A14x18 DIN 7603 - Cu ;3270002;07603.701.0140.018;шт.;4;
600;Малые детали;Резьбовая заглушка;пробка резьбовая DIN 5586 A G1/4 A 5.8;2000187;;шт.;2;
